#options: 1520x2700 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=13700 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:27.42 aq:19.27 tex:541596 mv:62477 misc:8887 imb:1413 pmb:11979 smb:2663 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:28.00 aq:21.84 tex:34405 mv:23409 misc:13306 imb:193 pmb:4137 smb:11725 d:t ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:28.29 aq:22.98 tex:13191 mv:9998 misc:8923 imb:99 pmb:2081 smb:13875 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:27.71 aq:22.37 tex:16020 mv:11627 misc:10065 imb:112 pmb:2472 smb:13471 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:26.48 aq:18.42 tex:674302 mv:63930 misc:7424 imb:1430 pmb:12507 smb:2118 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:26.95 aq:21.27 tex:51609 mv:27079 misc:14352 imb:264 pmb:5030 smb:10761 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:27.18 aq:22.05 tex:19286 mv:13252 misc:10790 imb:118 pmb:2786 smb:13151 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:26.72 aq:21.76 tex:23810 mv:14923 misc:11891 imb:121 pmb:3288 smb:12646 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:24.98 aq:17.00 tex:963535 mv:69925 misc:5060 imb:1658 pmb:13093 smb:1304 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:25.73 aq:20.39 tex:83482 mv:35824 misc:15654 imb:296 pmb:6874 smb:8885 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:26.11 aq:21.27 tex:30913 mv:18556 misc:12843 imb:167 pmb:3882 smb:12006 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:25.36 aq:20.82 tex:40184 mv:21458 misc:13766 imb:200 pmb:4554 smb:11301 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:23.87 aq:15.92 tex:1162222 mv:73677 misc:4285 imb:1753 pmb:13294 smb:1008 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:24.43 aq:19.32 tex:128491 mv:45485 misc:15704 imb:325 pmb:8664 smb:7066 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:24.70 aq:20.48 tex:51384 mv:25674 misc:14718 imb:231 pmb:5332 smb:10492 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:24.15 aq:19.88 tex:54339 mv:26691 misc:14770 imb:230 pmb:5331 smb:10494 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:23.12 aq:15.28 tex:1348376 mv:75960 misc:3960 imb:1819 pmb:13294 smb:942 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:23.49 aq:18.53 tex:198407 mv:52710 misc:14891 imb:429 pmb:10079 smb:5547 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:23.68 aq:19.65 tex:71030 mv:32116 misc:15446 imb:239 pmb:6257 smb:9559 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:23.30 aq:19.33 tex:79013 mv:33557 misc:15742 imb:259 pmb:6665 smb:9131 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:22.61 aq:14.92 tex:1421494 mv:76711 misc:3595 imb:1861 pmb:13410 smb:784 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:22.86 aq:17.84 tex:233457 mv:59476 misc:14099 imb:489 pmb:10707 smb:4859 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:22.99 aq:19.19 tex:86219 mv:36002 misc:15867 imb:243 pmb:7068 smb:8744 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:22.74 aq:18.91 tex:90240 mv:36900 misc:15908 imb:268 pmb:7316 smb:8471 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:22.28 aq:14.47 tex:1919119 mv:86475 misc:2358 imb:3013 pmb:12756 smb:286 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:22.44 aq:17.45 tex:352943 mv:65822 misc:11603 imb:644 pmb:12345 smb:3066 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:22.52 aq:18.80 tex:107036 mv:39801 misc:15963 imb:289 pmb:7804 smb:7962 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:22.36 aq:18.74 tex:151534 mv:48119 misc:15491 imb:427 pmb:9344 smb:6284 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:22.30 aq:14.35 tex:1639846 mv:81490 misc:3184 imb:2264 pmb:13228 smb:563 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:22.29 aq:17.47 tex:299104 mv:64437 misc:12683 imb:604 pmb:11669 smb:3782 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:22.28 aq:18.55 tex:129598 mv:46223 misc:15707 imb:380 pmb:8647 smb:7028 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:22.29 aq:18.62 tex:117229 mv:40533 misc:16046 imb:303 pmb:8246 smb:7506 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:22.45 aq:14.53 tex:1545918 mv:79537 misc:3529 imb:1999 pmb:13285 smb:771 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:22.37 aq:17.59 tex:281588 mv:61157 misc:13167 imb:504 pmb:11362 smb:4189 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:22.33 aq:18.60 tex:114980 mv:43521 misc:15979 imb:306 pmb:8070 smb:7679 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:22.41 aq:18.66 tex:105900 mv:39547 misc:16033 imb:265 pmb:7751 smb:8039 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:22.69 aq:14.71 tex:1482668 mv:79275 misc:3225 imb:2088 pmb:13371 smb:596 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:22.57 aq:17.77 tex:267231 mv:60703 misc:13402 imb:501 pmb:11179 smb:4375 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:22.51 aq:18.85 tex:109559 mv:41162 misc:16135 imb:290 pmb:7862 smb:7903 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:22.63 aq:18.95 tex:101760 mv:38390 misc:15986 imb:289 pmb:7690 smb:8076 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:22.92 aq:14.92 tex:1369313 mv:77761 misc:3918 imb:1916 pmb:13253 smb:886 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:22.81 aq:17.90 tex:231994 mv:59334 misc:14112 imb:518 pmb:10629 smb:4908 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:22.75 aq:19.05 tex:99914 mv:38223 misc:15951 imb:262 pmb:7491 smb:8302 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:22.87 aq:19.06 tex:82525 mv:34235 misc:15736 imb:243 pmb:6806 smb:9006 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:23.35 aq:15.36 tex:1273287 mv:74453 misc:4228 imb:1832 pmb:13207 smb:1016 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:23.14 aq:18.27 tex:222375 mv:53232 misc:14585 imb:437 pmb:10328 smb:5290 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:23.03 aq:19.25 tex:86031 mv:35378 misc:15799 imb:252 pmb:6951 smb:8852 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:23.25 aq:19.44 tex:82119 mv:32821 misc:15732 imb:245 pmb:6731 smb:9079 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:23.60 aq:15.63 tex:1172499 mv:74573 misc:4472 imb:1834 pmb:13116 smb:1105 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:23.48 aq:18.52 tex:192772 mv:53082 misc:15058 imb:437 pmb:9791 smb:5827 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:23.42 aq:19.54 tex:77396 mv:33189 misc:15815 imb:251 pmb:6484 smb:9320 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:23.54 aq:19.49 tex:63658 mv:30165 misc:15161 imb:267 pmb:5750 smb:10038 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:23.75 aq:16.02 tex:1178721 mv:72157 misc:4666 imb:1729 pmb:13029 smb:1297 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:23.67 aq:18.70 tex:176686 mv:50214 misc:15388 imb:371 pmb:9455 smb:6229 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:23.64 aq:19.58 tex:64724 mv:31053 misc:15431 imb:246 pmb:5987 smb:9822 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:23.71 aq:19.85 tex:70748 mv:30620 misc:15472 imb:234 pmb:6185 smb:9636 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:23.84 aq:15.80 tex:1259985 mv:75885 misc:3466 imb:2225 pmb:13201 smb:629 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:23.79 aq:19.15 tex:250039 mv:55928 misc:13649 imb:727 pmb:10667 smb:4661 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:23.77 aq:19.73 tex:76624 mv:36278 misc:15530 imb:352 pmb:6573 smb:9130 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:23.82 aq:19.67 tex:69821 mv:31969 misc:15426 imb:307 pmb:6249 smb:9499 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:23.88 aq:15.89 tex:1207964 mv:73303 misc:4373 imb:1786 pmb:13279 smb:990 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:23.86 aq:18.87 tex:171238 mv:49130 misc:15224 imb:403 pmb:9460 smb:6192 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:23.85 aq:19.78 tex:64758 mv:29527 misc:15283 imb:269 pmb:5813 smb:9973 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:23.87 aq:19.83 tex:60658 mv:27721 misc:15189 imb:237 pmb:5740 smb:10078 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:23.87 aq:15.80 tex:1140895 mv:72973 misc:4508 imb:1725 pmb:13251 smb:1079 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:23.87 aq:18.85 tex:153933 mv:46621 misc:15750 imb:419 pmb:8801 smb:6835 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:23.88 aq:19.79 tex:64927 mv:29731 misc:15310 imb:262 pmb:5930 smb:9863 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:23.87 aq:19.86 tex:61228 mv:28640 misc:15244 imb:217 pmb:5784 smb:10054 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:23.81 aq:15.86 tex:1131650 mv:72216 misc:4414 imb:1727 pmb:13264 smb:1064 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:23.84 aq:18.72 tex:149374 mv:45663 misc:15819 imb:412 pmb:8732 smb:6911 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:23.85 aq:19.64 tex:56687 mv:27141 misc:14820 imb:236 pmb:5291 smb:10528 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:23.82 aq:19.69 tex:61937 mv:28189 misc:15202 imb:232 pmb:5844 smb:9979 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:23.74 aq:15.84 tex:1151821 mv:73232 misc:4299 imb:1819 pmb:13319 smb:917 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:23.77 aq:18.72 tex:171218 mv:49365 misc:15249 imb:448 pmb:9479 smb:6128 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:23.79 aq:19.72 tex:68984 mv:29996 misc:15588 imb:251 pmb:6135 smb:9669 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:23.76 aq:19.65 tex:63113 mv:28855 misc:15280 imb:227 pmb:5871 smb:9957 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:23.75 aq:15.78 tex:1128987 mv:75083 misc:4426 imb:1842 pmb:13202 smb:1011 d:s ref:0 ;
